"ID";"Area (microns²)";"Perimeter (mm)";"Center X";"Center Y";"Image ID";"Image filename";"User";"Term";"Annotation thumb";"Annotation in Cytomine"
"7145733";"25621.388276240963";"0.579503847005038";"32222.74";"55577.93";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145733/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145733"
"7145710";"16751.48602438678";"0.4712100773256207";"35389.86";"54888.88";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145710/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145710"
"7145691";"22781.691816098206";"0.5441932787828683";"37548.82";"54120.80";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145691/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145691"
"7145670";"23969.73366752543";"0.5559378142446232";"40166.15";"55519.63";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145670/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145670"
"7145651";"40477.05794999998";"0.7550889114850208";"40644.37";"56726.82";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145651/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145651"
"7145630";"36262.411900590225";"0.6937134583499814";"45166.50";"59851.66";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145630/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145630"
"7145593";"10846.583433124379";"0.37998364437073945";"87747.59";"68518.73";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145593/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145593"
"7145572";"17745.132275500197";"0.49040856177103037";"85561.63";"67977.11";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145572/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145572"
"7145551";"29267.483548597324";"0.617803084153326";"84166.51";"68340.39";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145551/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145551"
"7145524";"8738.559137499997";"0.33857602529961467";"68381.98";"73212.00";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145524/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145524"
"7145469";"12518.847602343745";"0.41079890270255576";"68902.09";"72729.30";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145469/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145469"
"7145448";"13645.324425112725";"0.4247309999508897";"68119.87";"72113.52";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145448/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145448"
"7145408";"15254.192862499995";"0.44622702153690624";"65054.75";"71447.45";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145408/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145408"
"7145385";"27859.273248341087";"0.620706931429585";"69042.73";"71140.83";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145385/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145385"
"7145366";"10421.01475805431";"0.3724002883941878";"67641.66";"70600.02";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145366/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145366"
"7145345";"18988.791402529052";"0.5012500337686484";"69556.11";"69698.37";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145345/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145345"
"7145324";"15002.599591212045";"0.44506269216892674";"68175.63";"69112.05";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145324/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145324"
"7145284";"18195.033425620306";"0.5104567490714949";"67480.84";"69164.87";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145284/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145284"
"7145244";"24106.81940761237";"0.566492961315729";"66081.31";"67973.91";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145244/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145244"
"7145212";"10145.787087499995";"0.3685745004376095";"64364.60";"68862.03";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145212/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145212"
"7145137";"14125.742029496061";"0.43635601621260883";"61710.96";"67351.70";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145137/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145137"
"7145118";"12483.043412751906";"0.4175424446009833";"60228.02";"66226.49";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145118/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145118"
"7145011";"6140.746974999997";"0.30196977245857237";"54758.91";"64472.48";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Sclerotic";"http://cytomine.icube.unistra.fr/api/annotation/7145011/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7145011"
"7144986";"10622.298655007799";"0.3901574083858346";"55119.80";"63481.73";"17137";"IFTA_EXC_006_NX_NE5_106.svs";"alhajabdo";"Healthy";"http://cytomine.icube.unistra.fr/api/annotation/7144986/crop.png?draw=true&complete=true";"http://cytomine.icube.unistra.fr/#/project/1407/image/17137/annotation/7144986"
